"AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día) "
"1/3/2019,35.3,22,78.8,9"
"2/3/2019,33,21.4,80.5,0"
"3/3/2019,32.8,22.4,78.2,0"
"4/3/2019,33.8,21,78.3,0"
"5/3/2019,34.8,22,77.3,7.9"
"6/3/2019,30,22.6,84.3,0"
"7/3/2019,32.8,23,82.7,0"
"8/3/2019,33.8,21.3,80.5,0"
"9/3/2019,34,20,79,0"
"10/3/2019,35.4,21,76.1,0"
"11/3/2019,36.4,20.8,79.3,0"
"12/3/2019,34.4,21.2,79.5,0"
"13/3/2019,34,22.2,81.5,0"
"14/3/2019,34.6,21,82,0"
"15/3/2019,33.6,20.3,77.9,0"
"16/3/2019,33.4,21.6,79.6,0"
"17/3/2019,34.6,20.2,81.8,0"
"18/3/2019,34.4,21,78.2,0"
"19/3/2019,34.8,19.4,80.8,0"
"20/3/2019,35.4,18.4,80.5,0"
"21/3/2019,35.8,19,78.8,0"
"22/3/2019,34.8,20.3,79.5,0"
"23/3/2019,31.8,19.8,82.7,0"
"24/3/2019,33.8,18,83.4,0"
"25/3/2019,35.4,19,79.3,0"
"26/3/2019,33.4,18.2,81.9,0"
"27/3/2019,32.4,19.4,80.8,0"
"28/3/2019,34.8,20,82.4,0"
"29/3/2019,33.6,19.4,80.8,0"
"30/3/2019,31.4,22.2,81.7,0"
"31/3/2019,33.8,18,81.3,0"
